Galaxy,q,Rc,chi2_red,cov_ok,ndata
3.58,1.0000000019347042,499.9999940928877,1.1465761135755972,True,27
68.1,1.0000000000000002,51.247268269260104,9.346812947755234,True,13
1.33,1.3704628437717579,0.27659109592250736,1.1275698370917153,True,25
13.8,1.0000000000000002,20.120770881882653,29.209354365546783,True,43
7.7,1.0000000000000002,499.99999999998187,31.3651170501926,True,41
18.0,1.0000000000023315,108.81860290193063,47.11445630329111,True,350
3.21,1.1724371423973825,0.30196722028367884,1.072934824666102,True,21
23.7,1.0000000000000007,50.648935316381305,4.79177266909332,True,9
4.37,1.0000000000000002,4.303886600328662,1.310089758677195,True,6
2.87,1.0000000000000004,1.5378393814269615,2.19083127865299,True,14
9.0,1.0000000000000002,25.124157415113103,6.351061781176694,True,32
16.9,1.0000000000000002,499.99999999999983,12.41504501166648,True,83
15.7,1.0000000000000002,28.013306461493904,28.222020016918684,True,22
9.9,1.0000000000000002,499.99999999999994,605.30890772712,True,28
39.7,1.2579593888219254,499.9999999800503,210.78998425482027,True,52
7.06,1.0000000000000002,4.90159346255468,31.991372551680602,True,24
17.3,1.000000000000001,58.815325704686124,25.997028482617537,True,19
17.0,1.0000000000000002,18.435384727648927,21.984819310547998,True,44
127.8,1.0000000000000002,499.99999999999994,70.21277181640619,True,23
6.26,1.0000000000000002,8.870810594369829,55.92432017246883,True,31
51.2,1.0000000000000002,33.533467209604204,17.440017415381707,True,15
5.52,1.0000000000000002,499.99999999999994,72.22784773069955,True,58
14.7,1.000000000000297,499.99999995784356,175.89582847455335,True,36
3.61,1.0000000000000009,20.208946861110842,1.6943149183918378,True,46
14.4,1.0000000000000002,18.770773228287396,24.253413135398322,True,18
13.6,1.0000000000000002,499.99999999999994,4.972658887358578,True,6
64.5,1.7072104513017776,0.3837947668948371,17.045434801343728,True,22
17.1,1.641505623067623,1.4177488523376824,4.122087768618712,True,9
12.5,1.6567526221641946,0.5940616971397873,34.76530527928877,True,21
10.2,1.0000000000000002,1.7390439276844751,6.12092457588041,True,5
53.7,1.528445159642368,2.8335424148687003,1.2057256486412518,True,22
5.27,1.2733167803241776,0.7752028807560261,0.21537553964548561,True,25
10.4,1.0000000000000002,6.521495323231102,0.6699023127598106,True,5
10.5,1.8473798981547123,0.010000000000000002,5.483513681187272,True,8
6.92,1.0000000000000007,499.99999905962574,126.96714348413371,True,8
69.1,1.0000000000000002,35.05222807794532,2.7801511778566663,True,17
65.4,1.0000000000000324,499.9999999911243,176.73220556480342,True,43
16.5,1.0000000000000062,49.21902620819583,90.55725884244801,True,115
50.0,1.0000000000000002,34.158398494749015,14.411006777512773,True,48
20.7,1.0000000000000002,13.670513398724758,167.99751499310167,True,47
9.51,1.104918465914171,1.8520550093559969,2.1508200733668996,True,25
3.45,1.000000000000034,499.9999999996536,2.6788442958038132,True,22
9.6,1.8872081111497503,0.010000000000000373,8.038590402873048,True,8
3.34,1.3277825366988558,0.45317678033166764,0.34777571416329595,True,8
22.9,1.0000000000000002,109.46235374366623,121.25253408051101,True,73
9.4,1.0000000000000002,3.5469321132269545,0.21277122760178227,True,6
21.3,1.0000000000000002,15.135448251306983,234.0500177590256,True,83
6.18,1.1659617951679087,0.6901724927913914,1.5503127390673745,True,23
58.7,1.7153519585853376,1.4157409207421776,0.30510089384939965,True,11
7.47,1.6865736796958013,0.010000000000000007,62.856853274592844,True,10
8.64,1.8908380192689578,0.010000000000005792,0.6180039663073285,True,11
7.66,1.8092954379453106,0.010000000000011612,1.0330795955142968,True,8
8.63,1.0000000000000002,3.461989791493605,1.0663640550804485,True,15
47.7,1.3592373854845863,3.7425330781171726,4.286594262505717,True,5
12.0,1.8181267513777695,0.010000000000000264,0.4544872385217008,True,17
88.7,1.0000000000000149,70.43663161032602,13.729267667214499,True,13
15.1,1.0000000000000007,499.99999999996555,1.41860546884801,True,7
29.3,1.0000000000000002,14.847202003555736,33.157988171513715,True,45
19.8,1.3975601035320964,16.399924525554294,1.947010684532007,True,13
6.87,1.4604665299538098,5.811671751568345,0.9288473039931888,True,11
13.1,1.256918465572898,3.4077921772498074,1.498459796337916,True,7
8.0,1.0000000000000002,10.206375206613554,0.37466210456370314,True,10
8.43,1.4134973399506927,0.2835285577887695,0.8760460038912995,True,10
4.74,1.9108367533767912,0.010000000000042832,1.6598614600640311,True,31
4.97,1.0000000000000002,2.1481589632185782,0.31444481717868544,True,7
2.59,1.000000000000006,499.99999999824684,0.39963328718465896,True,9
4.7,1.0000000000000002,0.9673147808508281,0.8595197971616692,True,12
8.21,1.7288285518438875,0.010000000000000038,0.3563050448168911,True,8
8.11,1.010483992005349,3.6643936300110105,0.3050185863694476,True,7
4.57,1.602758439914432,1.6227656246093995,0.07494269368905862,True,7
6.5,1.6021635956637998,0.3327784420051916,4.297604640999562,True,17
4.65,1.164737866792256,1.3010486118543725,0.3106878990440474,True,30
6.7,1.3023799106639753,0.681468832124068,3.082550222027214,True,11
39.3,1.0000000000000009,28.355719234004148,24.233730202657565,True,41
7.21,1.0000000000005038,5.963741389873796,2.7767745329022855,True,8
83.6,1.0000000000000013,499.99999999992593,41.23224649987727,True,22
57.1,1.0000000000000002,52.681955062781974,84.16303136202923,True,68
10.7,1.868162402179643,499.999999999946,0.10813621712262704,True,5
78.6,1.0000000000000002,499.9999999999997,42.67878576410421,True,36
24.2,1.0000000000000024,499.9999999996241,8.187908507790853,True,12
18.1,1.6748445055333345,0.4668857405639504,6.2641688104766295,True,10
100.6,1.706916441951559,13.130534631889278,1.4801183966121816,True,31
9.77,1.867486961779063,0.010000000000030252,1.2243361132756265,True,15
13.2,1.8058267497910772,0.03400835368844611,0.7259000778208525,True,16
5.68,1.2436273312511226,0.7898398718418241,0.29123088241063405,True,7
4.35,1.0000000000000002,0.9295636779268983,4.422079171022841,True,8
0.98,1.8026290273629875,0.010000000000867842,0.6851298252938022,True,36
