Galaxy,q,Rc,chi2_red,cov_ok,ndata
NGC0289,1.0000000000000002,499.9999996286027,0.5891301596925547,True,28
NGC0300,1.0000000000000002,499.9999999184454,0.34879749638947344,True,25
NGC0801,1.0000000000000002,499.99999999886484,1.495417044049315,True,13
NGC0891,1.0000000000000002,499.99999950791,1.3513771786434177,True,18
NGC1003,1.0000000000000002,499.99999409247556,0.3280203665274702,True,36
NGC1090,1.0000000000000002,499.9999999999831,1.1695667766108846,True,24
NGC1705,1.0000000000000002,499.9999989072906,0.26401189894598814,True,14
NGC2366,1.0000000000000002,499.99999951028695,0.5333007935932189,True,26
NGC2403,1.0000000000000002,499.9999995956365,0.6822661057119318,True,73
NGC2683,1.0000000000000002,499.999999369284,0.751497850743293,True,11
NGC2841,1.0000000000000002,499.9999964686167,0.3498725651047821,True,50
NGC2903,1.0000000000000002,499.9999987663923,2.0656251572105786,True,34
NGC2915,1.0000000000000002,499.99999954859095,0.7093803538079374,True,30
NGC2955,1.0000000000000002,499.9999999999932,0.859693737590347,True,24
NGC2976,1.0000000000000002,499.99999949344533,1.3495648927814756,True,27
NGC2998,1.0000000000000002,499.99999998567444,0.8374334055994838,True,13
NGC3109,1.0000000000000002,499.99999997437425,0.16014523276247994,True,25
NGC3198,1.0000000000000002,499.99999676953854,1.0115917860089576,True,43
NGC3521,1.0000000000000002,499.99999847310704,1.5474398353525791,True,41
NGC3726,1.0000000000000002,499.9999988469517,1.147881417777063,True,12
NGC3741,1.0000000000000002,499.999999460748,0.18820624336228342,True,21
NGC3769,1.0000000000000002,499.9999987514886,0.8118494503751821,True,12
NGC3877,1.0000000000000002,499.9999990260991,2.026501488943664,True,13
NGC3893,1.0000000000000002,499.9999989562416,1.159140379533124,True,10
NGC3917,1.0000000000000002,499.9999988905955,0.753539449077363,True,17
NGC3949,1.0000000000000002,499.999999040267,1.9611198889438957,True,7
NGC3953,1.0000000000000002,499.99999898631745,1.4935576984526573,True,8
NGC3972,1.0000000000000002,499.99999896810914,0.8978896950212087,True,10
NGC3992,1.0000000000000002,499.99999998111826,0.6909410357222467,True,9
NGC4010,1.0000000000000002,499.99999894975883,1.0421971920763322,True,12
NGC4013,1.0000000000000002,499.9999987172042,0.5728087171069449,True,36
NGC4051,1.0000000000000002,499.99999899368083,1.9424014402809822,True,7
NGC4068,1.0000000000000002,499.9999994570835,1.7564825730132694,True,6
NGC4085,1.0000000000000002,499.99999904949607,2.913008166271742,True,7
NGC4088,1.0000000000000002,499.9999989628198,1.8753750823414144,True,12
NGC4100,1.0000000000000002,499.9999988609231,0.7430360574659819,True,24
NGC4138,1.0000000000000002,499.99999887861804,0.883971664979174,True,7
NGC4157,1.0000000000000002,499.9999988885473,1.1344007621822445,True,17
NGC4183,1.0000000000000002,499.99999863820256,0.42930674334935237,True,23
NGC4214,1.0000000000000002,499.9999997849425,0.4250900740078239,True,14
NGC4217,1.0000000000000002,499.9999987846097,0.23438376666566674,True,19
NGC4389,1.0000000000000002,499.9999990536954,6.502061025562007,True,6
NGC4559,1.0000000000000002,499.9999977654307,0.7903527361431135,True,32
NGC5005,1.0000000000000002,499.999998600363,1.1503263805902812,True,18
NGC5033,1.0000000000000002,499.9999973131917,0.4756628713591392,True,22
NGC5055,1.0000000000000002,499.9999994436772,1.2430474930027604,True,28
NGC5371,1.0000000000000002,499.99999999999255,1.2950685235253667,True,19
NGC5585,1.0000000000000002,499.9999985265884,0.8749310961292416,True,24
NGC5907,1.0000000000000002,499.99999820052983,0.6129970507248189,True,19
NGC5985,1.0000000000000002,499.9999999999926,0.45778196589198566,True,33
NGC6015,1.0000000000000002,499.9999983535787,0.5951928050357235,True,44
NGC6195,1.0000000000000002,499.99999997333015,0.7932137278256342,True,23
