gal,q,Rc,ndata
8.79,1.0000000000000036,0.6939434887675449,6
6.8,1.6059911902061985,0.959721928059153,29
7.5,1.0000000000000002,4.218757482497643,31
13.0,1.0000000000000056,3.7422401539724985,15
4.83,1.0000000000000002,0.40359581645700526,5
79.0,1.7651057660970875,13.746997286639763,5
82.4,1.4468629760357818,2.905817834064279,18
80.1,1.320312436467272,2.204145313892027,7
96.8,1.7677901664394002,0.3313972216190782,7
3.91,1.0677306366954766,4.005388193074725,34
7.3,1.3177271457656683,1.5437918002399755,29
2.11,1.0495822053770867,7.977983414999167,21
13.5,1.0000000000000002,4.57795382444545,21
20.8,1.0000000000000002,29.6066678550387,28
2.08,1.0000000000000002,3.114414372588928,25
5.73,1.0000000000000002,0.7649332988467297,14
3.27,1.0501106423027815,2.140040248713323,26
4.06,1.0000000000000078,0.8691097160303979,17
1.33,1.3704628485092663,0.27659109022515904,21
3.21,1.1724371424862572,0.3019672201829651,12
23.7,1.0000000000000007,50.64893552089936,9
4.37,1.0000000000000002,4.303886590349428,5
2.87,1.0000000000000004,1.5378393796557412,14
3.52,1.0000000000000022,0.1650245536054561,4
3.61,1.0000000000000009,20.208947063593122,27
17.1,1.6500130708785261,1.4438859655759237,9
30.9,1.1340129686011913,3.2676769741374083,4
53.7,1.5284451248184125,2.8335428526620627,22
5.27,1.2733167806372276,0.775202879964527,25
10.4,1.0000000000000002,6.521495434462123,5
69.1,1.0000000000000002,34.97466341796075,17
9.51,1.104918486669663,1.8520549625211984,25
3.34,1.3277825313690266,0.4531767808953171,8
9.4,1.0000000000000002,3.5469321148737163,6
6.18,1.1659617957272685,0.69017249198732,23
58.7,1.715351948858148,1.4157410073947774,11
8.63,1.0000000000000002,3.4619897941902456,15
47.7,1.3592373579808723,3.7425332826394273,5
19.8,1.3975600499180068,16.39992385322019,13
6.87,1.460466521984379,5.811671691470948,11
2.83,1.0000000000000118,0.7928131906417396,4
13.1,1.2569184401184654,3.4077922179275064,7
8.0,1.0000000000000002,10.206375297653153,10
8.43,1.413497340118182,0.28352855771553426,9
4.97,1.0000000000000002,2.1481589632185782,7
4.7,1.0000000000000002,0.9673147806377057,12
8.11,1.0104839943239963,3.6643936409481808,7
4.57,1.6027584422882353,1.6227656316555197,7
6.5,1.602163593450279,0.332778447348189,14
4.65,1.1647378670812571,1.3010486110222192,30
6.7,1.3023799064671293,0.6814688391321295,11
7.21,1.0000000000005036,5.963741368953018,8
100.6,1.706916443117331,13.130534677252696,30
5.68,1.2436273312511226,0.7898398718418241,7
4.35,1.0000000000000002,0.9295636774802888,8
0.98,1.8026290273334518,0.010000000000867775,1
